,ID,1AP ∆Ffast normalized
2765,9113,8.83181859
2637,8897,5.451068042
2778,9127,4.963762557
2599,8847,4.523620731
2624,8881,4.498073866
2485,8663,4.406524682
2549,8749,4.401461427
2825,9187,4.342507198
2665,8943,4.291108002
2741,9084,4.257839825
3017,9538,4.256555434
2812,9169,4.113001377
2641,8902,4.109196627
2735,9075,4.028384826
2740,9083,4.013645767
2917,9360,3.988284391
2780,9129,3.97526049
2882,9298,3.963998447
2807,9163,3.948066829
3036,9581,3.914401644
2648,8912,3.888035391
2876,9283,3.84206028
2887,9310,3.832618256
2745,9089,3.822149329
2810,9167,3.796995598
2779,9128,3.765030848
2458,8606,3.745846835
2728,9064,3.702408595
2799,9152,3.651907898
2655,8925,3.644190363
2786,9135,3.613600828
2767,9116,3.560566693
2755,9103,3.545871622
2918,9361,3.537282639
912,3296,3.52198793
3000,9519,3.5063468235
3016,9537,3.4902858195
3018,9539,3.464262131
2886,9309,3.453098421
2122,7966,3.4167091825
2875,9282,3.410488758
2664,8942,3.382831046
2899,9330,3.3406300365
2805,9161,3.329756327
2492,8673,3.270535165
2873,9278,3.263854135
2571,8802,3.261535539
1715,6387,3.25353296
2852,9230,3.25083991
2921,9364,3.244568496
2826,9188,3.235542264
2949,9406,3.228699319
2610,8860,3.2285492
2793,9144,3.174705068
2210,8179,3.157203745
2823,9184,3.145981842
2896,9322,3.131991518
2920,9363,3.122555643
2754,9102,3.11785393
2663,8939,3.116373946
2960,9430,3.10185463
2919,9362,3.09604813
2958,9423,3.088356312
2974,9447,3.0837911
2661,8935,3.080616401
2394,8501,3.070332378
2792,9142,3.067814165
2604,8852,3.066166036
2955,9419,3.063127874
2909,9349,3.057154055
3015,9536,3.049431994
2782,9131,3.019420426
2486,8664,3.0184022720000003
2730,9066,3.005384894
2869,9264,2.997001053
13,136,2.9899344680000004
2885,9303,2.985657383
2877,9284,2.980160332
3014,9535,2.978404643
2590,8838,2.961774229
309,1170,2.943012557
2894,9318,2.901919018
2719,9046,2.895097535
2773,9122,2.890366606
2911,9353,2.886774504
2221,8194,2.878428392
2833,9204,2.875739686
2785,9134,2.865201411
2356,8439,2.859860387
2881,9297,2.851968075
2387,8493,2.843330515
2763,9111,2.841119692
2818,9179,2.829174916
2589,8837,2.82384776
2867,9262,2.821324307
2635,8895,2.813207523
2722,9050,2.80681428
3003,9523,2.805802612
2900,9331,2.801167555
2733,9071,2.794672166
2313,8360,2.789455339
2948,9404,2.774791429
2198,8110,2.76771846
2622,8879,2.761148218
2884,9302,2.75909779
2232,8216,2.756737327
2643,8904,2.75217128
2756,9104,2.729495073
2658,8928,2.728862903
2883,9299,2.721860784
2950,9407,2.713684605
3009,9529,2.7127733675
3029,9569,2.7009651715
2619,8876,2.700650349
2653,8921,2.699808956
2808,9164,2.699175725
2623,8880,2.691994815
2953,9415,2.68136241
2870,9265,2.67890929
2771,9120,2.678322666
2809,9165,2.676628221
3021,9547,2.672417729
2226,8202,2.661390072
2862,9255,2.656576718
2768,9117,2.656468615
2946,9402,2.654593251
2357,8440,2.654511137
2944,9399,2.652528607
3032,9576,2.651294847
2739,9081,2.642349611
2777,9126,2.635592943
2903,9339,2.6288907915
2173,8054,2.624219452
2614,8871,2.615623923
2820,9181,2.614837025
3013,9534,2.614596367
2219,8192,2.6132918945
2895,9319,2.6044059995
2904,9340,2.598363933
2175,8056,2.590597574
2522,8716,2.568970353
2657,8927,2.567243343
2753,9099,2.565933957
2456,8603,2.565113991
2393,8500,2.556899896
1733,6406,2.547079239
2396,8507,2.546644622
2766,9114,2.54373848
3037,9583,2.540932432
418,1965,2.5355117305
2790,9139,2.535386931
2443,8582,2.534826372
22,168,2.53287485
3030,9573,2.530241815
2606,8855,2.525914205
2874,9281,2.521052662
1879,6822,2.519368707
3007,9527,2.5192536715
12,135,2.5107927735
2843,9218,2.506347175
2890,9313,2.492594052
2578,8814,2.492021836
2764,9112,2.491764433
2937,9383,2.491525041
24,177,2.490314252
14,142,2.484375092
2938,9384,2.483239017
2770,9119,2.481796408
2183,8084,2.479433287
2984,9464,2.473665014
2879,9293,2.473301366
2931,9376,2.46261492
2450,8592,2.450880315
2951,9409,2.447333977
2893,9317,2.4470325475
2300,8344,2.443878729
2871,9275,2.443855131
3038,9585,2.4422943395
2997,9508,2.4343349555
2697,9007,2.43243386
2607,8856,2.427526661
2317,8366,2.417681351
2112,7952,2.412387106
2855,9234,2.407785387
2935,9381,2.406174016
3012,9533,2.397924077
2670,8952,2.3975577545
2654,8922,2.394839231
2759,9107,2.392781183
1728,6401,2.390637072
2164,8027,2.390131337
2769,9118,2.383825527
2901,9333,2.383812007
2718,9045,2.381127918
2959,9425,2.373651047
2618,8875,2.364868147
2475,8641,2.360576427
2868,9263,2.348037465
2864,9257,2.347346969
2731,9067,2.344625196
2209,8178,2.34367221
2634,8894,2.342118168
2644,8905,2.341668473
2220,8193,2.341561264
2980,9456,2.340487216
2666,8945,2.33963617
2324,8376,2.325785869
2483,8654,2.318445457
3035,9580,2.3050592754999997
2834,9205,2.304062255
3010,9530,2.298965804
2638,8898,2.277904608
2190,8096,2.276376334
2963,9435,2.268968894
2751,9095,2.266281449
2954,9418,2.265088932
2597,8845,2.264591207
2947,9403,2.264291781
562,2337,2.264032278
2605,8854,2.261040288
2872,9277,2.260477255
2577,8812,2.2588684
2889,9312,2.24667788
2905,9344,2.245660346
2892,9315,2.243189854
2423,8555,2.24317825
2449,8590,2.240922612
2994,9500,2.238203543
2692,9000,2.232063613
2414,8544,2.22929548
3027,9561,2.228757429
2410,8539,2.22651119
2866,9259,2.224631368
2302,8346,2.221409002
2503,8692,2.21793468
3039,9586,2.2151288955
1702,6372,2.215113669
2636,8896,2.215077724
2306,8352,2.20488412
2827,9191,2.20322477
2580,8817,2.201528674
2973,9446,2.198772824
2470,8629,2.198629032
783,2984,2.195254841
3028,9568,2.191206572
2846,9221,2.187470666
2444,8583,2.187328364
2848,9226,2.185195717
2592,8840,2.185148521
1392,4644,2.180847817
2910,9350,2.180115469
2797,9149,2.176058494
2630,8887,2.173095136
2878,9292,2.170661728
2228,8206,2.167893881
2157,8014,2.1647358335
2956,9421,2.163043866
2469,8628,2.156559843
2744,9088,2.15115458
2853,9231,2.141953827
2801,9155,2.137962113
2795,9147,2.132120877
2247,8254,2.130290789
2940,9389,2.128081601
2189,8095,2.125344091
2572,8803,2.123645945
36,201,2.117816
2690,8995,2.116282886
3044,9594,2.1160930935
2700,9014,2.107141778
2156,8013,2.1028452255
2361,8449,2.099033096
2617,8874,2.09855031
2104,7933,2.094417053
2548,8748,2.0935382545
2174,8055,2.088940781
2212,8184,2.086223065
423,2018,2.083669435
2595,8843,2.082685162
2403,8524,2.081087778
2397,8510,2.078316055
3026,9560,2.0756294145
1716,6388,2.074485438
2880,9295,2.072693094
2993,9494,2.069978909
2601,8849,2.069826083
1710,6382,2.069691115
2925,9370,2.069574203
2369,8471,2.068481922
2390,8497,2.06622824
2927,9372,2.064223343
2981,9458,2.0607041375
2626,8883,2.059392342
2241,8242,2.053720481
2941,9390,2.051443691
2467,8624,2.047348422
2865,9258,2.0413174345
3022,9549,2.040828785
2646,8907,2.040322038
2788,9137,2.036229301
2976,9451,2.0338588865
2102,7929,2.032433568
1738,6411,2.026467902
2726,9062,2.023563028
2888,9311,2.023426973
2908,9348,2.01907298
2983,9463,2.015934943
2936,9382,2.009784359
23,173,2.008124169
2199,8111,2.008098361
31,191,2.006297247
2952,9411,2.006069903
3033,9577,2.00241609
2591,8839,2.002269646
2262,8278,2.000736664
