ID,T<sub>off</sub>,tau off unnormalized,1AP ∆Ffast normalized,1AP ∆Ffast unnormalized,1AP ∆F/F0 normalized,1AP ∆F/F0 unnormalized,20AP ∆F/F0,20AP ∆F/F0 unnormalized 
6391,3.144574362,1.298086753,1.309710195,24.82656023,4.865604402,15.16558871,1.407134166,150.4668127
6412,2.956756845,0.906296886,3.523439548,56.08826779,3.120038536,13.65642528,2.261817567,223.2952646
250,,0.986408752,1.085462747,12.96849828,,9.793501397,3.736855474,717.7022772
4058,1.521679435,2.653215985,1.233927892,15.74905073,1.381539944,18.41848573,0.826308958,99.38707643
4147,0.754740378,1.315973122,1.332332317,10.06455727,1.111636244,14.82016962,1.447902625,89.26818001
6412,3.323693654,0.960500555,1.409586316,32.19561301,3.27836515,13.18056436,2.261817567,223.2952646
6396,3.444410791,0.902324095,0.737651633,21.38917911,2.912141812,12.53447368,1.150174922,122.9898035
6428,3.620277166,1.109677289,1.441912747,32.93396389,2.769273022,12.12112276,0.926568486,109.3244619
282,,0.532743904,1.139514588,23.64239111,,11.03937391,2.978568277,698.7367117
6432,4.136325009,1.135371083,1.846373095,35.34412619,3.155996139,11.29012073,1.290214461,155.184864
4164,1.010586058,1.762068293,1.052518301,7.001332153,1.077981025,14.37148323,1.377605426,64.26421883
6391,4.011145908,1.279207081,1.404809049,14.13304847,1.94163541,10.94086177,1.407134166,150.4668127
6375,3.139525098,2.129864548,2.184785444,31.4242443,1.650585158,10.83221623,1.591462891,168.140937
9147,2.728860582,0.589709967,2.132120877,20.80805446,2.649569159,10.77623067,1.849213427,180.6467787
8357,2.394899636,0.529234508,1.174345585,13.59882258,2.183911551,10.52125114,1.254304696,82.0716305
3486,0.847051915,1.476928471,1.192873951,9.01107632,0.973628649,12.98027281,1.52978595,95.09846914
6411,2.408020145,0.738099639,0.74870565,17.10078844,2.367999315,10.36474561,0.917414923,152.7937469
6371,2.957367625,0.804169263,0.776169909,18.1798052,2.350259512,9.93570366,1.179821999,81.18174408
6364,3.186651743,0.866516345,0.927255055,21.71859031,2.256601501,9.539765152,1.321409519,90.92416441
4505,3.276509498,1.148047246,,11.99209896,4.97174212,9.406383894,1.721015885,162.5444852
6375,2.539915972,0.660079389,1.503533169,29.15188224,2.665443445,9.221343754,1.591462891,168.140937
4612,1.445977922,2.521222045,0.709930372,8.476824383,0.967773072,12.90220714,0.880882893,59.67468435
4566,0.796288037,1.388416049,1.185406455,10.00425802,0.961953089,12.82461599,0.947451639,59.24089761
8379,3.75556647,1.198508471,1.338411266,15.86722362,2.021874315,9.194127223,1.304673416,110.5331914
9421,4.05358189,0.78704996,2.163043866,14.1763591,2.103407447,9.00786428,2.428196861,125.5052665
8697,3.093690573,0.83767965,1.825339447,20.67799439,3.472353398,8.997977055,2.69111146,162.3011738
6391,3.965376079,0.685452688,1.37874106,10.41513305,1.997241309,8.84417095,1.407134166,150.4668127
8354,2.422120171,0.78853313,1.454981568,18.73218165,2.086172193,8.812772622,1.124182285,108.8548371
8360,4.060720807,0.937816578,2.789455339,30.77203313,2.102884934,8.809875238,1.737222866,133.4828363
8317,2.72594926,0.602391179,0.975177276,11.29247041,1.811861071,8.728854125,1.062021589,69.49016756
8697,3.21372627,0.842901371,1.439234098,12.39944944,2.376196912,8.675039239,2.69111146,162.3011738
